A;B;Customers
Fee_based_Services  - 06;ATM_Trans_Days  - 07;786
Active_Payroll_Pension  - 01;Branch_Transaction_Days  + 02;785
Public_Sector_Payments  + 04;Remmitances_In  + 05;785
ATM_Trans_Days  + 10;Active_GS  + 11;785
Active_Payroll_Pension  + 01;Total_Loan_Balances  + 02;784
Branch_Transaction_Days  + 10;Total_Loan_Balances  + 11;784
Debit_Cards_Prepaid_Cards  - 05;Active_GS  + 06;784
Card_Purchases  + 11;Branch_Transaction_Days  + 12;783
Tax_Payments  + 02;Active_GS  + 03;783
Credit_Cards  + 03;ATM_Trans_Days  - 04;782
Total_Loan_Balances  + 08;Public_Sector_Payments  + 09;781
Active_GS  - 07;EBanking_Usage  - 08;781
Remmitances_Out  - 02;Active_Payroll_Pension  - 03;780
Tax_Payments  + 01;Active_Payroll_Pension  - 02;780
Card_Purchases  - 02;Fee_based_Services  + 03;779
Credit_Cards  + 02;Card_Purchases  - 03;779
Salary  + 07;Remmitances_In  + 08;779
Public_Sector_Payments  + 10;Card_Purchases  + 11;779
CSI  - 11;ATM_Trans_Days  + 12;779
Active_Payroll_Pension  - 07;EBanking_Usage  - 08;778
CSI  + 10;CSI  + 11;778
AUM  + 11;Branch_Transaction_Days  - 12;778
Total_Loan_Balances  - 11;Total_Loan_Balances  - 12;777
Credit_Cards  - 02;Total_Loan_Balances  + 03;777
Tax_Payments  + 07;Debit_Cards_Prepaid_Cards  - 08;777
Branch_Transaction_Days  - 11;Branch_Transaction_Days  + 12;777
Debit_Cards_Prepaid_Cards  - 10;Card_Purchases  + 11;776
Credit_Cards  - 02;Tax_Payments  + 03;776
Tax_Payments  + 02;Active_Payroll_Pension  + 03;776
Debit_Cards_Prepaid_Cards  - 07;Tax_Payments  - 08;776
Remmitances_Out  - 02;Active_GS  + 03;775
Remmitances_Out  - 07;Remmitances_In  - 08;775
AUM  + 04;POS  - 05;774
ATM_Trans_Days  + 08;Credit_Cards  + 09;774
POS  + 07;AUM  + 08;774
AUM  + 10;Active_Payroll_Pension  + 11;773
Total_Loan_Balances  - 04;Debit_Cards_Prepaid_Cards  - 05;773
Remmitances_In  - 09;Total_Loan_Balances  + 10;772
CSI  - 08;Debit_Cards_Prepaid_Cards  - 09;772
AUM  + 05;POS  - 06;771
Branch_Transaction_Days  + 03;Active_Payroll_Pension  - 04;771
Card_Purchases  - 04;Credit_Cards  + 05;770
Total_Loan_Balances  + 01;POS  + 02;770
Active_Payroll_Pension  + 04;CSI  - 05;770
ATM_Trans_Days  - 07;Credit_Cards  + 08;770
Salary  - 10;EBanking_Usage  - 11;770
POS  - 04;AUM  - 05;769
Remmitances_Out  + 01;Active_GS  - 02;768
Branch_Transaction_Days  + 11;ATM_Trans_Days  - 12;768
Remmitances_Out  + 04;Total_Loan_Balances  + 05;767
Credit_Cards  + 07;AUM  + 08;767
AUM  + 10;Active_GS  + 11;767
Debit_Cards_Prepaid_Cards  - 07;Salary  + 08;765
Active_Payroll_Pension  + 04;Remmitances_Out  - 05;765
Total_Loan_Balances  - 11;AUM  - 12;763
Active_GS  - 09;Card_Purchases  + 10;763
Total_Loan_Balances  + 07;Debit_Cards_Prepaid_Cards  + 08;763
Card_Purchases  + 02;Credit_Cards  - 03;763
Active_GS  + 04;CSI  - 05;763
Active_GS  - 05;Salary  + 06;763
CSI  - 07;Active_GS  - 08;763
Active_Payroll_Pension  + 05;CSI  - 06;763
Branch_Transaction_Days  - 11;AUM  - 12;763
Remmitances_In  - 02;Debit_Cards_Prepaid_Cards  - 03;762
Remmitances_In  + 04;Remmitances_Out  + 05;762
Active_GS  + 04;Remmitances_Out  - 05;762
CSI  + 09;POS  - 10;762
Active_Payroll_Pension  + 01;Card_Purchases  - 02;762
Credit_Cards  - 05;Card_Purchases  + 06;761
Debit_Cards_Prepaid_Cards  - 06;Remmitances_In  - 07;761
EBanking_Usage  + 10;CSI  - 11;761
POS  - 05;AUM  - 06;760
Active_Payroll_Pension  - 04;Salary  + 05;760
Public_Sector_Payments  - 08;Branch_Transaction_Days  - 09;760
Remmitances_In  + 07;Total_Loan_Balances  + 08;760
Total_Loan_Balances  + 02;Active_GS  - 03;760
Debit_Cards_Prepaid_Cards  - 08;Branch_Transaction_Days  - 09;760
Remmitances_In  + 01;Credit_Cards  - 02;760
Public_Sector_Payments  - 02;Debit_Cards_Prepaid_Cards  - 03;759
Branch_Transaction_Days  + 06;Remmitances_In  + 07;759
Remmitances_Out  + 10;AUM  - 11;758
Card_Purchases  - 11;Branch_Transaction_Days  + 12;758
Tax_Payments  - 04;Remmitances_In  - 05;758
Active_GS  + 05;CSI  - 06;758
Branch_Transaction_Days  + 08;Remmitances_In  - 09;758
Debit_Cards_Prepaid_Cards  + 05;Remmitances_In  + 06;757
CSI  + 07;Remmitances_Out  + 08;757
EBanking_Usage  + 10;Public_Sector_Payments  - 11;757
CSI  + 02;Fee_based_Services  + 03;757
ATM_Trans_Days  + 11;Branch_Transaction_Days  - 12;757
Active_Payroll_Pension  - 09;Card_Purchases  + 10;757
Total_Loan_Balances  + 02;Active_Payroll_Pension  - 03;756
Public_Sector_Payments  + 09;Total_Loan_Balances  - 10;755
Active_GS  - 06;EBanking_Usage  - 07;754
Fee_based_Services  + 07;Card_Purchases  + 08;754
Public_Sector_Payments  - 05;Remmitances_In  - 06;753
Fee_based_Services  - 01;Card_Purchases  - 02;753
Tax_Payments  + 07;Remmitances_Out  + 08;753
Salary  - 10;Total_Loan_Balances  + 11;753
Public_Sector_Payments  + 04;Active_GS  - 05;752
ATM_Trans_Days  + 03;Fee_based_Services  - 04;751
Debit_Cards_Prepaid_Cards  - 07;Total_Loan_Balances  - 08;751
Remmitances_Out  + 02;Active_GS  + 03;751
Credit_Cards  + 08;ATM_Trans_Days  + 09;751
Card_Purchases  - 03;Fee_based_Services  + 04;751
EBanking_Usage  - 08;Tax_Payments  + 09;750
Debit_Cards_Prepaid_Cards  - 10;AUM  - 11;750
Fee_based_Services  - 04;ATM_Trans_Days  - 05;750
Tax_Payments  + 02;Remmitances_Out  + 03;750
Card_Purchases  - 03;Fee_based_Services  - 04;750
Total_Loan_Balances  + 05;Debit_Cards_Prepaid_Cards  - 06;750
Remmitances_In  + 10;AUM  - 11;750
Card_Purchases  - 06;Credit_Cards  - 07;750
Remmitances_Out  + 02;Active_Payroll_Pension  + 03;750
Branch_Transaction_Days  + 10;CSI  - 11;749
Remmitances_Out  - 02;Active_Payroll_Pension  + 03;749
Remmitances_Out  + 02;Debit_Cards_Prepaid_Cards  - 03;749
Active_GS  - 03;Total_Loan_Balances  + 04;749
CSI  - 10;CSI  - 11;748
POS  + 05;ATM_Trans_Days  + 06;748
Fee_based_Services  + 02;Card_Purchases  - 03;748
Remmitances_In  + 05;Debit_Cards_Prepaid_Cards  + 06;748
CSI  - 11;Card_Purchases  - 12;747
Salary  - 02;Credit_Cards  + 03;747
Public_Sector_Payments  + 04;Active_Payroll_Pension  - 05;747
Debit_Cards_Prepaid_Cards  + 07;EBanking_Usage  - 08;747
Remmitances_In  - 06;Public_Sector_Payments  - 07;746
Tax_Payments  - 02;Active_GS  + 03;746
CSI  + 09;Remmitances_In  - 10;746
EBanking_Usage  - 08;Debit_Cards_Prepaid_Cards  + 09;745
EBanking_Usage  - 05;Active_GS  - 06;745
Debit_Cards_Prepaid_Cards  - 06;Public_Sector_Payments  + 07;745
Branch_Transaction_Days  - 08;Remmitances_Out  - 09;744
Remmitances_In  - 08;Tax_Payments  + 09;744
Remmitances_In  + 08;Total_Loan_Balances  - 09;744
Remmitances_Out  - 05;Total_Loan_Balances  - 06;744
Total_Loan_Balances  + 10;Branch_Transaction_Days  - 11;743
Fee_based_Services  - 06;Fee_based_Services  + 07;743
Active_GS  - 01;Tax_Payments  - 02;742
Salary  - 03;Tax_Payments  - 04;741
Tax_Payments  - 02;Debit_Cards_Prepaid_Cards  - 03;741
Public_Sector_Payments  - 05;Remmitances_Out  - 06;740
Salary  - 11;ATM_Trans_Days  - 12;740
Fee_based_Services  + 09;AUM  + 10;740
Tax_Payments  - 04;EBanking_Usage  - 05;740
Remmitances_In  + 01;Active_Payroll_Pension  - 02;740
Total_Loan_Balances  - 11;ATM_Trans_Days  - 12;739
Card_Purchases  + 07;Fee_based_Services  + 08;739
Card_Purchases  + 07;Credit_Cards  + 08;739
Credit_Cards  - 05;ATM_Trans_Days  + 06;739
AUM  + 09;Fee_based_Services  + 10;738
Total_Loan_Balances  + 01;Active_Payroll_Pension  - 02;738
Remmitances_Out  + 01;Credit_Cards  - 02;737
POS  + 05;EBanking_Usage  + 06;737
Business_Loan  + 01;Total_Loan_Balances  + 02;737
Active_GS  - 03;Public_Sector_Payments  - 04;737
Remmitances_In  + 05;Debit_Cards_Prepaid_Cards  - 06;737
Public_Sector_Payments  + 05;Fee_based_Services  - 06;736
Total_Loan_Balances  - 06;Debit_Cards_Prepaid_Cards  - 07;736
Card_Purchases  + 04;Fee_based_Services  - 05;736
Remmitances_Out  - 09;CSI  + 10;736
Active_Payroll_Pension  - 06;EBanking_Usage  - 07;736
Fee_based_Services  - 05;Card_Purchases  + 06;736
Credit_Cards  - 02;AUM  - 03;736
Branch_Transaction_Days  + 02;Fee_based_Services  + 03;735
Active_GS  - 06;Salary  + 07;735
Active_GS  - 03;Remmitances_Out  + 04;735
Credit_Cards  - 03;Card_Purchases  - 04;734
Salary  - 05;Public_Sector_Payments  - 06;734
Active_Payroll_Pension  + 08;Salary  - 09;734
Active_GS  + 08;Salary  - 09;733
Debit_Cards_Prepaid_Cards  + 07;Total_Loan_Balances  + 08;733
Credit_Cards  - 01;CSI  - 02;733
Active_Payroll_Pension  - 06;Salary  + 07;732
Tax_Payments  - 09;Remmitances_Out  + 10;732
Active_Payroll_Pension  + 03;Public_Sector_Payments  - 04;732
CSI  + 06;Active_Payroll_Pension  + 07;731
Active_GS  + 03;Public_Sector_Payments  - 04;731
Salary  - 06;Debit_Cards_Prepaid_Cards  + 07;731
POS  - 06;AUM  - 07;731
Total_Loan_Balances  + 02;Remmitances_In  + 03;730
Tax_Payments  - 08;Tax_Payments  + 09;730
Public_Sector_Payments  - 08;Public_Sector_Payments  + 09;730
Total_Loan_Balances  - 05;Debit_Cards_Prepaid_Cards  - 06;729
EBanking_Usage  - 07;Active_GS  - 08;728
Public_Sector_Payments  - 05;Total_Loan_Balances  - 06;728
Debit_Cards_Prepaid_Cards  + 01;Tax_Payments  + 02;728
EBanking_Usage  - 07;Active_Payroll_Pension  - 08;728
Total_Loan_Balances  - 08;Debit_Cards_Prepaid_Cards  + 09;727
Remmitances_Out  + 04;Salary  + 05;727
Remmitances_Out  + 05;Remmitances_In  + 06;727
Public_Sector_Payments  + 11;AUM  + 12;727
POS  + 04;Branch_Transaction_Days  + 05;726
ATM_Trans_Days  - 04;POS  + 05;726
Debit_Cards_Prepaid_Cards  + 02;Active_GS  - 03;725
POS  - 02;ATM_Trans_Days  + 03;725
Card_Purchases  - 04;Fee_based_Services  - 05;725
Debit_Cards_Prepaid_Cards  - 07;Total_Loan_Balances  + 08;725
EBanking_Usage  - 11;AUM  - 12;725
Credit_Cards  - 04;AUM  + 05;724
EBanking_Usage  + 05;Active_Payroll_Pension  - 06;724
Remmitances_In  + 08;EBanking_Usage  - 09;724
Branch_Transaction_Days  + 11;Card_Purchases  + 12;724
AUM  + 11;CSI  - 12;723
EBanking_Usage  - 05;Active_Payroll_Pension  - 06;723
CSI  + 06;Active_GS  + 07;722
Total_Loan_Balances  + 11;Tax_Payments  - 12;722
Tax_Payments  - 02;Active_Payroll_Pension  + 03;722
EBanking_Usage  + 05;Active_GS  - 06;722
Home_Loans  + 01;Total_Loan_Balances  + 02;722
CSI  + 03;Fee_based_Services  + 04;722
ATM_Trans_Days  - 03;POS  + 04;722
Active_Payroll_Pension  - 03;Public_Sector_Payments  - 04;721
Credit_Cards  + 06;EBanking_Usage  + 07;720
Public_Sector_Payments  + 09;Branch_Transaction_Days  + 10;720
AUM  - 07;Fee_based_Services  - 08;720
Tax_Payments  + 01;Remmitances_Out  + 02;719
Tax_Payments  + 06;Active_Payroll_Pension  - 07;719
Fee_based_Services  + 08;ATM_Trans_Days  + 09;719
Salary  + 01;Credit_Cards  - 02;719
Remmitances_In  - 08;Remmitances_Out  + 09;719
Branch_Transaction_Days  - 09;Remmitances_Out  + 10;719
Tax_Payments  + 10;AUM  - 11;719
Remmitances_Out  - 06;EBanking_Usage  - 07;718
Salary  + 09;Remmitances_Out  - 10;718
Branch_Transaction_Days  + 02;Credit_Cards  + 03;717
Branch_Transaction_Days  - 01;Fee_based_Services  - 02;716
Public_Sector_Payments  - 02;Active_GS  + 03;715
Debit_Cards_Prepaid_Cards  - 05;Salary  - 06;715
Salary  + 09;Public_Sector_Payments  - 10;714
POS  + 04;ATM_Trans_Days  + 05;714
Tax_Payments  - 03;Remmitances_Out  - 04;714
Public_Sector_Payments  + 09;CSI  + 10;714
Remmitances_Out  - 08;Remmitances_Out  + 09;713
Card_Purchases  + 04;POS  + 05;713
AUM  - 06;POS  - 07;712
Fee_based_Services  - 04;Card_Purchases  + 05;712
Public_Sector_Payments  - 06;Remmitances_Out  - 07;712
Active_Payroll_Pension  + 03;Branch_Transaction_Days  - 04;711
Remmitances_In  - 07;Public_Sector_Payments  - 08;711
POS  + 04;EBanking_Usage  + 05;711
Credit_Cards  - 01;Branch_Transaction_Days  - 02;711
Active_Payroll_Pension  - 03;Total_Loan_Balances  + 04;711
EBanking_Usage  + 06;Active_Payroll_Pension  - 07;711
EBanking_Usage  + 06;Active_GS  - 07;710
Active_GS  - 04;Branch_Transaction_Days  + 05;710
Branch_Transaction_Days  + 08;Active_Payroll_Pension  - 09;710
Active_GS  + 05;Remmitances_Out  - 06;709
Debit_Cards_Prepaid_Cards  + 02;Active_Payroll_Pension  - 03;709
Credit_Cards  - 04;ATM_Trans_Days  - 05;709
Remmitances_Out  - 06;Debit_Cards_Prepaid_Cards  + 07;709
Branch_Transaction_Days  - 01;Home_Loans  - 02;709
ATM_Trans_Days  + 03;Credit_Cards  - 04;708
Active_Payroll_Pension  + 02;Active_Payroll_Pension  - 03;708
Tax_Payments  + 06;Active_GS  - 07;708
Fee_based_Services  - 02;ATM_Trans_Days  - 03;708
Total_Loan_Balances  + 11;Salary  + 12;708
EBanking_Usage  - 06;Active_Payroll_Pension  - 07;708
Card_Purchases  + 03;Fee_based_Services  - 04;708
Salary  + 01;POS  + 02;707
Remmitances_Out  + 05;Salary  + 06;707
EBanking_Usage  - 06;Active_GS  - 07;707
EBanking_Usage  + 08;Remmitances_Out  + 09;707
Active_Payroll_Pension  - 05;Salary  + 06;706
Active_Payroll_Pension  + 04;Tax_Payments  + 05;706
Total_Loan_Balances  + 09;Remmitances_In  - 10;706
Active_Payroll_Pension  + 05;Remmitances_Out  - 06;706
Credit_Cards  - 03;Branch_Transaction_Days  + 04;706
Branch_Transaction_Days  - 11;ATM_Trans_Days  + 12;705
AUM  - 02;Credit_Cards  - 03;705
EBanking_Usage  + 04;Credit_Cards  + 05;705
Branch_Transaction_Days  + 07;Active_Payroll_Pension  + 08;705
POS  + 09;POS  - 10;705
Public_Sector_Payments  + 06;Debit_Cards_Prepaid_Cards  - 07;704
EBanking_Usage  - 07;Active_GS  + 08;704
Card_Purchases  + 05;Fee_based_Services  - 06;704
Active_GS  + 03;Branch_Transaction_Days  - 04;704
Remmitances_Out  - 08;Remmitances_In  + 09;703
CSI  + 01;Fee_based_Services  - 02;703
Branch_Transaction_Days  + 07;Active_GS  + 08;703
Tax_Payments  - 05;Salary  - 06;703
Tax_Payments  + 10;ATM_Trans_Days  - 11;702
Tax_Payments  + 06;Active_Payroll_Pension  + 07;702
Tax_Payments  + 06;Active_GS  + 07;702
Remmitances_Out  - 06;Public_Sector_Payments  - 07;702
POS  + 09;CSI  - 10;702
Remmitances_In  - 04;Public_Sector_Payments  - 05;702
Branch_Transaction_Days  + 03;Branch_Transaction_Days  + 04;701
Remmitances_Out  + 01;Tax_Payments  + 02;701
Credit_Cards  - 04;AUM  - 05;700
Card_Purchases  + 11;CSI  + 12;700
EBanking_Usage  - 07;Active_Payroll_Pension  + 08;700
Active_GS  + 04;Tax_Payments  + 05;700
Active_GS  - 03;Remmitances_In  - 04;699
Total_Loan_Balances  + 09;Remmitances_Out  - 10;699
ATM_Trans_Days  + 03;POS  + 04;699
Active_GS  + 01;Credit_Cards  + 02;698
Active_GS  + 02;Active_Payroll_Pension  - 03;698
Remmitances_In  + 10;ATM_Trans_Days  - 11;698
AUM  + 03;Credit_Cards  - 04;697
ATM_Trans_Days  - 11;Active_Payroll_Pension  + 12;697
Active_GS  - 06;Branch_Transaction_Days  + 07;697
Total_Loan_Balances  - 10;Branch_Transaction_Days  - 11;696
Remmitances_Out  + 10;ATM_Trans_Days  - 11;695
Fee_based_Services  - 05;Card_Purchases  - 06;695
ATM_Trans_Days  + 04;Credit_Cards  - 05;695
Active_Payroll_Pension  + 02;Active_GS  - 03;695
Salary  + 07;Debit_Cards_Prepaid_Cards  + 08;695
Salary  + 11;ATM_Trans_Days  - 12;695
Branch_Transaction_Days  + 08;Active_GS  - 09;694
Public_Sector_Payments  + 09;Total_Loan_Balances  + 10;693
AUM  + 11;EBanking_Usage  - 12;693
Public_Sector_Payments  + 08;Remmitances_In  - 09;693
Credit_Cards  - 03;AUM  - 04;693
Salary  + 02;Remmitances_In  + 03;693
Public_Sector_Payments  + 05;Remmitances_In  + 06;692
ATM_Trans_Days  - 08;Fee_based_Services  + 09;692
Remmitances_Out  + 10;ATM_Trans_Days  + 11;691
Public_Sector_Payments  - 02;Active_Payroll_Pension  + 03;691
Card_Purchases  - 01;Fee_based_Services  - 02;691
Remmitances_In  + 08;CSI  + 09;691
ATM_Trans_Days  - 11;Active_GS  + 12;691
CSI  + 05;Active_Payroll_Pension  - 06;691
Fee_based_Services  + 02;CSI  - 03;691
ATM_Trans_Days  - 11;Salary  - 12;690
Tax_Payments  + 10;Tax_Payments  - 11;690
Credit_Cards  + 06;ATM_Trans_Days  - 07;690
Public_Sector_Payments  - 08;Remmitances_In  + 09;689
Home_Loans  - 01;AUM  - 02;689
Credit_Cards  + 08;AUM  + 09;689
Credit_Cards  + 03;CSI  + 04;689
Remmitances_Out  - 06;Salary  - 07;688
Salary  - 06;Public_Sector_Payments  - 07;688
Salary  + 11;Tax_Payments  - 12;688
Home_Loans  - 04;Total_Loan_Balances  - 05;688
Remmitances_In  - 03;Debit_Cards_Prepaid_Cards  - 04;688
Public_Sector_Payments  - 10;Salary  + 11;687
Card_Purchases  + 11;Total_Loan_Balances  + 12;687
CSI  - 10;Branch_Transaction_Days  - 11;686
Remmitances_Out  + 01;Active_Payroll_Pension  - 02;686
Active_Payroll_Pension  + 07;Branch_Transaction_Days  + 08;686
Debit_Cards_Prepaid_Cards  + 01;Remmitances_In  + 02;686
CSI  + 08;Public_Sector_Payments  + 09;685
Remmitances_In  - 06;Active_Payroll_Pension  - 07;685
Branch_Transaction_Days  - 09;Debit_Cards_Prepaid_Cards  - 10;685
Active_GS  + 07;Branch_Transaction_Days  + 08;685
Active_Payroll_Pension  - 02;Active_GS  - 03;684
Total_Loan_Balances  - 02;Credit_Cards  + 03;684
Active_Payroll_Pension  - 03;Remmitances_Out  + 04;683
Public_Sector_Payments  - 10;EBanking_Usage  + 11;683
CSI  + 04;Fee_based_Services  + 05;683
Total_Loan_Balances  - 02;Active_GS  - 03;683
ATM_Trans_Days  + 05;Credit_Cards  - 06;683
POS  - 07;AUM  - 08;682
Salary  + 03;Debit_Cards_Prepaid_Cards  - 04;682
Credit_Cards  - 07;CSI  + 08;682
Remmitances_In  + 08;Salary  - 09;682
Total_Loan_Balances  + 11;Card_Purchases  + 12;682
Debit_Cards_Prepaid_Cards  - 05;Public_Sector_Payments  - 06;682
EBanking_Usage  + 11;Tax_Payments  - 12;682
Salary  - 05;Debit_Cards_Prepaid_Cards  - 06;682
Active_GS  - 04;Branch_Transaction_Days  - 05;681
Remmitances_Out  + 08;Salary  - 09;681
Active_Payroll_Pension  - 06;Branch_Transaction_Days  + 07;681
Card_Purchases  - 05;Credit_Cards  + 06;681
POS  - 02;ATM_Trans_Days  - 03;681
Home_Loans  - 01;AUM  + 02;681
Debit_Cards_Prepaid_Cards  + 06;Tax_Payments  + 07;680
Card_Purchases  - 01;POS  - 02;680
CSI  + 08;Debit_Cards_Prepaid_Cards  + 09;680
Salary  + 10;Branch_Transaction_Days  + 11;680
Credit_Cards  + 03;Branch_Transaction_Days  + 04;680
Fee_based_Services  - 03;Card_Purchases  - 04;678
Salary  + 06;Remmitances_Out  + 07;678
ATM_Trans_Days  - 10;Tax_Payments  + 11;677
Total_Loan_Balances  + 07;Remmitances_In  + 08;677
Card_Purchases  - 04;Fee_based_Services  + 05;677
CSI  + 08;Debit_Cards_Prepaid_Cards  - 09;677
Remmitances_In  - 11;AUM  + 12;676
Tax_Payments  - 03;Remmitances_In  - 04;676
Credit_Cards  + 04;ATM_Trans_Days  - 05;676
CSI  + 05;Fee_based_Services  + 06;676
Remmitances_Out  - 08;Branch_Transaction_Days  - 09;675
Public_Sector_Payments  + 10;Tax_Payments  - 11;674
Debit_Cards_Prepaid_Cards  + 06;Remmitances_In  - 07;674
ATM_Trans_Days  + 06;Credit_Cards  - 07;674
ATM_Trans_Days  + 02;Fee_based_Services  - 03;674
Total_Loan_Balances  - 08;Remmitances_Out  - 09;673
CSI  + 05;Active_GS  - 06;673
ATM_Trans_Days  + 11;CSI  - 12;672
Tax_Payments  - 11;AUM  - 12;672
Card_Purchases  + 10;Active_Payroll_Pension  + 11;671
EBanking_Usage  - 09;Remmitances_In  + 10;671
Active_Payroll_Pension  + 01;Credit_Cards  + 02;671
Active_Payroll_Pension  + 05;Remmitances_In  - 06;671
Remmitances_In  - 06;Active_GS  - 07;671
Salary  - 11;CSI  + 12;670
Active_GS  + 05;Remmitances_In  - 06;670
Public_Sector_Payments  + 08;Remmitances_Out  - 09;670
Debit_Cards_Prepaid_Cards  - 05;Remmitances_Out  - 06;670
CSI  - 07;Credit_Cards  + 08;670
CSI  + 04;Credit_Cards  + 05;669
Remmitances_Out  + 01;POS  + 02;668
AUM  + 10;Debit_Cards_Prepaid_Cards  - 11;668
Salary  - 10;CSI  - 11;668
Remmitances_In  + 10;ATM_Trans_Days  + 11;667
ATM_Trans_Days  - 07;Fee_based_Services  + 08;667
Active_GS  - 05;EBanking_Usage  - 06;667
Total_Loan_Balances  - 02;Home_Loans  - 03;667
Fee_based_Services  - 03;ATM_Trans_Days  + 04;666
ATM_Trans_Days  - 05;Credit_Cards  - 06;666
Branch_Transaction_Days  - 03;Active_GS  - 04;666
Public_Sector_Payments  - 10;Tax_Payments  - 11;665
Card_Purchases  + 10;Active_GS  + 11;665
Card_Purchases  + 03;POS  + 04;664
Card_Purchases  - 04;POS  + 05;663
Debit_Cards_Prepaid_Cards  - 09;EBanking_Usage  + 10;663
Active_GS  - 07;Salary  + 08;662
ATM_Trans_Days  + 10;Debit_Cards_Prepaid_Cards  + 11;662
AUM  + 06;POS  - 07;662
Total_Loan_Balances  + 01;Remmitances_In  + 02;662
AUM  + 08;Credit_Cards  + 09;661
Active_Payroll_Pension  + 06;Debit_Cards_Prepaid_Cards  + 07;661
Fee_based_Services  - 04;Card_Purchases  - 05;661
Public_Sector_Payments  - 08;Total_Loan_Balances  - 09;661
Credit_Cards  + 05;ATM_Trans_Days  - 06;660
Remmitances_Out  + 09;Tax_Payments  - 10;660
ATM_Trans_Days  - 01;POS  - 02;660
Total_Loan_Balances  - 02;Active_Payroll_Pension  - 03;660
Remmitances_Out  - 07;Total_Loan_Balances  - 08;659
EBanking_Usage  + 03;Fee_based_Services  + 04;659
AUM  - 07;POS  + 08;659
Debit_Cards_Prepaid_Cards  + 08;Tax_Payments  - 09;659
Active_GS  + 06;Debit_Cards_Prepaid_Cards  + 07;659
Salary  + 08;Active_GS  - 09;658
Debit_Cards_Prepaid_Cards  + 08;CSI  + 09;658
EBanking_Usage  + 10;EBanking_Usage  + 11;658
Active_GS  - 01;Public_Sector_Payments  - 02;658
Debit_Cards_Prepaid_Cards  + 08;Branch_Transaction_Days  + 09;657
Active_GS  + 07;CSI  + 08;657
Fee_based_Services  + 04;Card_Purchases  - 05;656
Active_Payroll_Pension  - 05;EBanking_Usage  - 06;655
Total_Loan_Balances  - 07;Debit_Cards_Prepaid_Cards  - 08;655
Public_Sector_Payments  - 06;Debit_Cards_Prepaid_Cards  + 07;655
